RY,y' R' U R' D2 R U' R' D2 R2 y,"y' R' [U, R' D2 R] R y"
RZ,y R2 U2 R D2 R' U2 R D2 R y',"y R2 [U2, R D2 R'] R2 y'"
,,
X,Alg,C ABA'B' C'
XA,U' R'F'R2FR U R'F'R2FR,"[U', R'F'R2FR]"
XB,L D' F2 D L' D' L F2 L' D,"D' L [L' D L D', F2] L' D"
XC,D R2 U L U' R2 U L' U',"D [R2, U L U'] D'"
XD,U2 R'F'R2FR U2 R'F'R2FR,"[U2, R'F'R2FR]"
XE,L D R2 U L U' R2 U L' U' L',"L D [R2, U L U'] D' L'"
XF,D R2 D L' D' R2 D L D2,"D2 [D' R2 D, L'] D2"
XG,U R'F'R2FR U' R'F'R2FR,"[U, R'F'R2FR]"
XH,U2 L' U R2 U' L U R2 U,"U' [U' L' U, R2] U"
XI,B' D R2 D' B D B' R2 B D',"D B' [B D' B' D, R2] B D'"
XW,R2 U R2 U' R2 D R2 U R2 U' R2 D',"[R2 U R2 U' R2, D]"
XM,y D' L2 D' R' D L2 D' R D2 y',"y D2 [D L2 D', R'] D2 y'"
XN,U r' D2 r U' r' F D2 F' r,"r' F [F' L F L', D2] F' r"
XO,R2 U R2 U' R2 D2 R2 U R2 U' R2 D2,"[R2 U R2 U' R2, D2]"
XP,U2 L U R2 U' L' U R2 U,"U2 [L, U R2 U'] U2"
XQ,y' U2 L' U' R2 U L U' R2 U' y,"y' U [U L' U', R2] U' y"
XR,R2 U R2 U' R2 D' R2 U R2 U' R2 D,"[R2 U R2 U' R2, D']"
XS,y U' R F2 R' U R U' F2 U R' y',"y U' R [F2, R' U R U'] R' U y'"
XT,D' R U' R D2 R' U R D2 R2 D,"D' R2 [R' U' R, D2] R2 D"
B,Alg,C ABA'B' C'
BD,L' R' D2 R U2 R' D2 R U2 L,"L' [R' D2 R, U2] L"
BE,L' U2 L' D' L U2 L' D L2,"L' [U2, L' D' L] L"
BF,x' R U' F2 U R' U' R F2 R' U,"x' U' R [R' U R U', F2] R' U x"
BG,R2 D R' U2 R D' R' U2 R',"R2 [D, R' U2 R] R2"
BH,r U2 L D2 L' U2 L D2 L' r',"r [U2, L D2 L'] r'"
BI,x' U r' D2 r U' r' F D2 F' r x,"x' U r' [D2, L F' L' F] r U' x"
BW,R2 D2 R' U2 R D2 R' U2 R',"R2 [D2, R' U2 R] R2"
BM,R' D F2 D' R D R' F2 R D',"R' D [F2, D' R D R'] D' R"
BN,r U2 L D L' U2 L D' L' r',"r [U2, L D L'] r'"
BO,R2 D' R' U2 R D R' U2 R',"R2 [D', R' U2 R] R2"
BP,U2 R' U2 R' D2 R U2 R' D2 R2 U2,"U2 R' [U2, R' D2 R] R U2"
BQ,x R2 D R U2 R' D' R U2 l,"x R2 [D, R U2 R'] R2 x'"
BR,D R2 D' R' U2 R D R' U2 R' D',"D R2 [D', R' U2 R] R2 D'"
BS,L' U2 L' D L U2 L' D' L2,"L' [U2, L' D L] L"
BT,r U2 L D' L' U2 L D L' r',"r [U2, L D' L'] r'"
BX,D' L F2 L' D L D' F2 D L',"D' L [F2, L' D L D'] L' D"
BY,L' U2 L' D2 L U2 L' D2 L2,"L' [U2, L' U2 L] L"
BZ,x' R2 U' R D2 R' U R D2 R x,"x' R2 [U', R D2 R'] R2 x"
,,
E,Alg,C ABA'B' C'
EA,U' R U2 R D R' U2 R D' R2 U,"U' R [U2, R D R'] R' U"
EB,L2 D' L U2 L' D L U2 L,"L' [L' D' L, U2] L"
EC,L U' R' U L' U' R U,"[L, U' R' U]"
EG,x' U' R' D' R U R' D R x,"x' [U', R' D' R] x"
EH,x R' U' L U R U' r' F x',"x [R', U' L U] x'"
EI,R' U2 R'F'R2FR U2 R'F'R2F R2,"R' [U2, R'F'R2FR] R"
EW,R2 D2 R' U R D2 R' U' R',"R2 [D2, R' U R] R2"
EM,z' D2 R U R' D2 R U R' z,"z' [D2, R U' R'] z"
EN,U F' x R2 U L U' R2 U r' U',"U F' x [R2, U L U'] x' F U'"
EO,R2 D' R' U R D R' U' R',"R2 [D', R' U R] R2"
EP,z' R D2 R U R' D2 R U R2 z,"z' R [D2, R U' R'] R' z"
EQ,r' U R2 U' L U R2 U' x,"r' [U R2 U', L] r"
ER,x R2 U' L U R2 U' r' F x',"x [R2, U' L U] x'"
ES,x' L D' L' U2 L D L' U2 x,"x' [L D' L', U2] x"
ET,D r' U R2 U' L U R2 U' x D',"D r' [U R2 U', L] r D'"
EX,L D R2 U L U' R2 U L' U' D' L',"L D [R2, U L U'] D' L'"
EY,x R U' L U R2 U' r' F x',"x [R, U' L U] x'"
EZ,L' D2 R U R' D2 R U' R' L,"L' [D2, R U R'] L"
,,
H,Alg,C ABA'B' C'
HA,x' R U L' U' R' U L U' x,"x' [R, U L' U'] x"
HB,r L D2 L' U2 L D2 L' U2 r',"r [L D2 L', U2] r'"
HC,U L U' R' U L' U' R,"[U L U', R']"
